id,source,title,setting,stationType,suggested_status,suggested_category,confidence,rationale,already_annotated
AMBOSS-11,AMBOSS,Selles noires - Homme 65 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-12,AMBOSS,Douleur thoracique - Femme 35 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-13,AMBOSS,Douleur thoracique - Homme 35 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-14,AMBOSS,Douleur thoracique - Homme 45 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-15,AMBOSS,Douleur abdominale chronique - Garçon 6 ans,Consultation téléphonique,teleconsultation,C,,0.40,"[teleconsult_non_violence] Téléconsultation hors maltraitance — responsabilité médicale, hors scope Phase 6 J1",false
AMBOSS-16,AMBOSS,Troubles du sommeil - Femme 32 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-17,AMBOSS,Troubles de mémoire - Femme 70 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-18,AMBOSS,Toux chronique - Femme 21 ans,Clinique de santé étudiante,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-19,AMBOSS,Toux chronique - Femme 53 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-20,AMBOSS,Diminution de sensation dans les extrémités - Homme 42 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-21,AMBOSS,Hématurie - Homme 23 ans,Service d'urgence,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-22,AMBOSS,Dysphagie - Femme 60 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-23,AMBOSS,Perte auditive - Homme 65 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-24,AMBOSS,Évaluation après chute - Femme 30 ans,Clinique de soins urgents,anamnese_examen,A,secret_pro_levee,1.00,Déjà annotée Phase 5 — legalContext présent dans la fixture,true
AMBOSS-25,AMBOSS,Douleur au genou - Femme 47 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-26,AMBOSS,Céphalée - Homme 29 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-27,AMBOSS,Fatigue - Femme 28 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-28,AMBOSS,Prise de poids - Homme 45 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-29,AMBOSS,Fatigue - Femme 18 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-30,AMBOSS,Mal de gorge - Homme 19 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-31,AMBOSS,Toux - Homme 58 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-32,AMBOSS,Lésion génitale - Femme 17 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-33,AMBOSS,Céphalée - Femme 55 ans,Service d'urgences,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-34,AMBOSS,Perte de vision - Homme 66 ans,Clinique de soins urgents,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-35,AMBOSS,Brûlures d'estomac - Femme 54 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-36,AMBOSS,Fatigue - Homme 54 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-37,AMBOSS,Changements cutanés - Nouveau-née 4 jours,Cabinet médical,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
AMBOSS-38,AMBOSS,Douleur à la cheville - Femme 28 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-39,AMBOSS,Douleur à l'épaule - Homme 52 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
AMBOSS-40,AMBOSS,Vertiges - Homme 25 ans,Cabinet médical,anamnese_examen,C,,0.40,[usmle_amboss_non_pediatric_no_match] Source USMLE/AMBOSS non triviale à transposer en droit CH — vérifier expert avant annotation,false
German-1,German,Abus d'alcool,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-2,German,Acouphènes,Cabinet ORL,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-3,German,Allaitement - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-4,German,Anxiété,Cabinet de psychiatrie (remplacement),psy,C,,0.40,[psy_no_emergency] Psychiatrie sans urgence suicidaire — peut nécessiter directives anticipées ou capacité de discernement (Phase 7),false
German-5,German,AVP,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-6,German,Bouffées de chaleur,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-7,German,Bradycardie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-8,German,Céphalées,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-9,German,Céphalées,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-10,German,Chute,Service d'urgences de l'hôpital cantonal de Lucerne,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-11,German,Chute,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-12,German,Constipation,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-13,German,Diarrhée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-14,German,Difficultés scolaires - Pédiatrie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-15,German,Douleur abdominale,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-16,German,Douleur abdominale,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-17,German,Douleur abdominale,Cabinet de gynécologie,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-18,German,Douleur abdominale,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-19,German,Douleur abdominale,Service médical,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-20,German,Douleur abdominale,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-21,German,Douleur abdominale,Service d'urgence d'un hôpital régional,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-22,German,Douleur au coude,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-23,German,Douleur au genou,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-24,German,Douleur au poignet,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-25,German,Douleur au talon,Service d'urgence d'un hôpital régional,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-26,German,Douleur aux jambes,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-27,German,Douleur à l'épaule,Cabinet de médecine générale (remplacement),anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-28,German,Douleur à l'oreille - Pédiatrie,Service d'urgences pédiatriques,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-29,German,Douleur à la hanche,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-30,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-31,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-32,German,Douleur thoracique,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-33,German,Douleur thoracique,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-34,German,Dysphagie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-35,German,Dyspnée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-36,German,Dyspnée,Cabinet de médecine générale en zone rurale (remplacement),anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-37,German,Dysurie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-38,German,EM Tabac,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-39,German,EM Vaccinations - Pédiatrie,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-40,German,Enurésie - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-41,German,Epilepsie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-42,German,Eruption cutanée,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-43,German,Eruption cutanée,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-44,German,Erythème,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-45,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-46,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-47,German,Fatigue,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-48,German,Fièvre - Pédiatrie,Cabinet de pédiatrie,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-49,German,Gonflement abdominal,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-50,German,Gonflement du visage,Consultation ambulatoire de permanence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-51,German,Hématurie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-52,German,Hémoptysie,Service d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-53,German,Hypertension,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-54,German,Hypertension,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-55,German,Ictère,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-56,German,Incontinence,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-57,German,Lombalgie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-58,German,Lombalgie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-59,German,Lombalgie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-60,German,Malaise,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-61,German,Malaise,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-62,German,Masse mammaire,Cabinet de gynécologie,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-63,German,Ménopause,Consultation gynécologique,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-64,German,Obésité,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-65,German,Otorrhée - Pédiatrie,Service d'urgences pédiatriques,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-66,German,Palpitations,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-67,German,Perte auditive,Consultation ORL d'urgence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-68,German,Perte auditive,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-69,German,Perte de vision,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-70,German,Pleurs inconsolables - Pédiatrie,Cabinet de médecine de famille - Garde de weekend,anamnese_examen,A,signalement_maltraitance,0.90,[minor_high_violence] Mineur + indice direct de maltraitance (violence/abus/trauma non expliqué),false
German-71,German,Pollakiurie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-72,German,Retard de croissance - Pédiatrie,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-73,German,Saignement vaginal,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-74,German,Tachycardie,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-75,German,Toux,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-76,German,Toux,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-77,German,Toux,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-78,German,Toux,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-79,German,Toux - Consultation téléphonique - Pédiatrie,Consultation téléphonique pédiatrique - 21h00,teleconsultation,C,,0.40,"[teleconsult_non_violence] Téléconsultation hors maltraitance — responsabilité médicale, hors scope Phase 6 J1",false
German-80,German,Tremblement,Service de permanence,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-81,German,Troubles de l'érection,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-82,German,Troubles du sommeil,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-83,German,Troubles sensoriels aux pieds,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-84,German,Vomissements - Consultation téléphonique - Pédiatrie,Consultation téléphonique pédiatrique à 23h00,teleconsultation,C,,0.40,"[teleconsult_non_violence] Téléconsultation hors maltraitance — responsabilité médicale, hors scope Phase 6 J1",false
German-85,German,Vomissements et diarrhée - Pédiatrie,Cabinet de médecine générale,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-86,German,Voyage au Brésil,Cabinet de médecine générale - Consultation de médecine des voyages,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
German-87,German,Voyage à Madagascar,Cabinet de médecine générale - Consultation de médecine des voyages,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
German-88,German,Yeux rouges,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-1,RESCOS,Adénopathie sus-claviculaire - ECC Lymphatique,Cabinet d'hématologie,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-2,RESCOS,Adénopathie sus-claviculaire,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-3,RESCOS,Amaurose,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-4,RESCOS,AVP,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-5,RESCOS,AVP,Urgences - Box de déchocage,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-6,RESCOS,AVP,Urgences - Salle de déchocage,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-7,RESCOS,BBN,"Service de neurochirurgie, CHUV",bbn,C,,0.40,[bbn] BBN (annonce diagnostic grave) — pas de cadre médico-légal CH formalisé Phase 5/6,false
RESCOS-8,RESCOS,BBN - Récidive cancer ovarien,Service des urgences,bbn,C,,0.40,[bbn] BBN (annonce diagnostic grave) — pas de cadre médico-légal CH formalisé Phase 5/6,false
RESCOS-9,RESCOS,Boiterie pédiatrique,"Urgences, médecin assistant",pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
RESCOS-9b,RESCOS,Boiterie pédiatrique - Fillette de 2 ans,Urgences d'un hôpital pédiatrique,pediatrie_accompagnant,C,,0.40,"[pediatrics_no_redflag] Pédiatrie standard sans red flag de maltraitance — consentement parental implicite, hors scope Phase 5/6",false
RESCOS-10 -Céphalée,RESCOS,RESCOS-10 -Céphalée,Urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-11,RESCOS,Chute,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-12,RESCOS,Crise de panique,Service d'urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-13,RESCOS,Dépression,Urgences psychiatriques du CHUV,psy,C,,0.40,[psy_no_emergency] Psychiatrie sans urgence suicidaire — peut nécessiter directives anticipées ou capacité de discernement (Phase 7),false
RESCOS-14,RESCOS,Diarrhées,Urgences,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
RESCOS-15,RESCOS,Diarrhées et constipation,Cabinet de médecine générale,anamnese_examen,B,,0.60,"Consultation clinique standard (anamnèse/examen ou triage), aucun marqueur médico-légal détecté",false
